title,brand,brand_version,is_strict,year,month,distance,disaplacement,city,transmission,price,guiding_price
奔腾X80 2013款 2.3L 自动豪华型 严选车降价急售0过户,奔腾X80,,严选车,2013,09,9.51,2.3,,自动,5.61,5.93
标致3008 2013款 1.6THP 自动至尚版 严选车降价急售,标致3008,,严选车,2013,04,10.4,1.6,,自动,7.30,7.53
日产 轩逸 2016款 1.6XV CVT智享版 严选车0过户,日产,轩逸,严选车,2016,07,1.3,1.6,唐山,自动,9.47,15.20
福特 锐界 2015款 2.0T GTDi 两驱豪锐型 严选车降价急售0过户,福特,锐界,严选车,2015,08,12.22,2.0,,自动,16.82,17.49
福特 探险者 2013款 3.5L 尊享型(进口) 严选车0过户,福特,探险者,严选车,2014,03,8.21,3.5,,自动,19.40,54.30
路虎 揽胜极光 2015款 2.0T 五门智耀版 严选车降价急售,路虎,揽胜极光,严选车,2015,05,5.4,2.0,,自动,21.11,21.63
马自达 昂克赛拉 2014款 两厢 2.0L 自动旗舰型 严选车降价急售0过户,马自达,昂克赛拉,严选车,2015,09,4.17,2.0,,自动,9.70,9.85
别克 英朗 2015款 18T 双离合豪华型 严选车降价急售0过户,别克,英朗,严选车,2015,12,3.02,1.4,,自动,7.80,7.95
现代 悦动 2010款 1.6L AT GLS 严选车降价急售,现代,悦动,严选车,2011,09,9.72,1.6,,自动,3.40,3.44
哈弗H1 2015款 1.5L 手动都市型 严选车降价急售0过户,哈弗H1,,严选车,2014,12,8.71,1.5,,手动,3.10,3.14
雪佛兰 迈锐宝 2013款 2.4L 自动豪华版 严选车降价急售0过户,雪佛兰,迈锐宝,严选车,2014,02,4.53,2.4,,自动,8.33,8.6
纳智捷 优6 SUV 2014款 2.0T 时尚型 严选车0过户,纳智捷,优6,严选车,2014,10,9.33,2.0,,自动,5.60,17.30
哈弗H2 2016款 红标 1.5T 自动两驱精英型 严选车,哈弗H2,,严选车,2016,07,2.38,1.5,,自动,6.44,12.70
长安CS75 2014款 1.8T 自动精英型 国IV 严选车降价急售0过户,长安CS75,,严选车,2015,09,2.86,1.8,,自动,7.00,7.32
北京BJ40 2016款 40L 2.3T 自动四驱尊享版 严选车降价急售0过户,北京BJ40,,严选车,2016,07,5.94,2.3,廊坊,自动,9.97,10.42
现代 途胜 2015款 1.6T 双离合两驱智能型 严选车0过户,现代,途胜,严选车,2016,09,2.58,1.6,廊坊,自动,11.60,19.50
宝马3系 2012款 320i 豪华型 严选车0过户,宝马3系,,严选车,2012,03,8.16,2.0,,自动,9.97,42.20
奥迪A6L 2014款 TFSI 标准型 严选车降价急售0过户,奥迪A6L,,严选车,2014,05,5.32,2.0,,自动,22.94,23.78
马自达CX-5 2013款 2.5L 自动四驱豪华型 严选车0过户,马自达CX-5,,严选车,2015,04,7.16,2.5,,自动,12.48,24.90
福特 蒙迪欧-致胜 2011款 2.0L GTDi200豪华型 严选车降价急售0过户,福特,蒙迪欧-致胜,严选车,2012,11,2.62,2.0,,自动,7.24,7.65
大众 宝来 2012款 1.6L 手动时尚型 严选车降价急售0过户,大众,宝来,严选车,2011,12,4.34,1.6,,手动,4.14,4.24
福特 翼虎 2015款 1.5L GTDi 四驱精英型 严选车降价急售0过户,福特,翼虎,严选车,2016,01,7.38,1.5,,自动,12.15,12.85
雪铁龙 世嘉 2014款 VTS版 1.6L 手动品尚型 严选车降价急售0过户,雪铁龙,世嘉,严选车,2015,08,1.5,1.6,,手动,5.40,5.57
雪佛兰 科帕奇 2012款 2.4L 四驱旗舰版 7座 严选车降价急售,雪佛兰,科帕奇,严选车,2013,09,5.15,2.4,,自动,8.53,9.01
大众 迈腾 2013款 1.8TSI 领先型 严选车降价急售,大众,迈腾,严选车,2014,07,8.33,1.8,,自动,11.00,11.18
路虎 揽胜极光 2018款 240PS SE DYNAMIC 智锐版 严选车准新车0过户,路虎,揽胜极光,严选车,2018,05,0.55,2.0,,自动,30.37,53.40
斯巴鲁 傲虎 2013款 2.5i 运动版 严选车降价急售0过户,斯巴鲁,傲虎,严选车,2012,10,15.56,2.5,,自动,11.34,12.06
宝马5系 2014款 535Li 领先型 严选车降价急售,宝马5系,,严选车,2015,01,7.34,3.0,,自动,31.20,31.81
MG6 2012款 掀背 1.8L 自动驾值版 严选车降价急售0过户,MG6,,严选车,2012,05,8.97,1.8,,自动,3.89,3.95
日产 天籁 2011款 2.5L XL领先版 严选车降价急售,日产,天籁,严选车,2012,07,6.07,2.5,,自动,9.28,9.73
奇瑞 瑞虎5 2014款 2.0L 手动家悦版 严选车0过户,奇瑞,瑞虎5,严选车,2014,10,6.79,2.0,,手动,3.87,10.80
日产 骐达 2011款 1.6L CVT智能型 严选车降价急售0过户,日产,骐达,严选车,2011,12,4.59,1.6,,自动,5.61,5.95
吉利 博越 2016款 1.8TD 自动四驱智尊型 严选车降价急售0过户,吉利,博越,严选车,2016,12,1,1.8,,自动,10.21,10.37
大众 Passat领驭 2011款 1.8T 自动尊享型 严选车,大众,Passat领驭,严选车,2012,04,16.91,1.8,,自动,6.15,21.30
路虎 揽胜极光 2015款 2.0T 五门智耀版 严选车0过户,路虎,揽胜极光,严选车,2015,05,1.14,2.0,,自动,24.55,50.80
宝马5系 2014款 525Li 豪华设计套装 严选车降价急售0过户,宝马5系,,严选车,2015,04,6.47,2.0,,自动,27.71,29.23
本田 歌诗图 2014款 2.4L 豪华版 严选车降价急售,本田,歌诗图,严选车,2014,09,4.91,2.4,,自动,14.15,14.85
宝马5系 2014款 525Li 豪华设计套装 严选车降价急售0过户,宝马5系,,严选车,2015,04,3.69,2.0,,自动,29.50,30.07
日产 奇骏 2014款 2.0L CVT舒适版 2WD 严选车降价急售0过户,日产,奇骏,严选车,2016,02,2.53,2.0,,自动,14.10,14.32
宝马5系 2014款 535Li 领先型 严选车降价急售,宝马5系,,严选车,2015,01,7.34,3.0,,自动,31.20,31.81
现代 全新胜达 2013款 2.4L 自动四驱尊贵型 严选车降价急售0过户,现代,全新胜达,严选车,2013,03,6.76,2.4,,自动,10.89,11.59
福特 翼虎 2013款 1.6L GTDi 四驱精英型 严选车降价急售,福特,翼虎,严选车,2013,05,6.86,1.6,,自动,9.64,10.24
大众 速腾 2012款 1.4TSI 自动旗舰版 严选车0过户,大众,速腾,严选车,2013,04,10.36,1.4,,自动,7.79,19.30
比亚迪S7 2016款 2.0T 自动旗舰型 严选车降价急售0过户,比亚迪S7,,严选车,2015,12,2.83,2.0,,自动,6.98,7.42
马自达 阿特兹 2015款 2.5L 蓝天至尊版 严选车降价急售0过户,马自达,阿特兹,严选车,2016,06,2.74,2.5,北京,自动,13.77,14.38
现代 全新胜达 2017款 2.0T 自动四驱智能型 7座 严选车降价急售准新车0过户,现代,全新胜达,严选车,2018,05,0.17,2.0,保定,自动,16.90,17.09
福特 福克斯 2012款 两厢 1.6L 自动舒适型 严选车降价急售,福特,福克斯,严选车,2014,06,4.45,1.6,保定,自动,5.53,5.74
大众 朗行 2015款 1.6L 自动舒适版 严选车降价急售,大众,朗行,严选车,2015,10,4.72,1.6,廊坊,自动,7.06,7.23
奔驰C级 2015款 改款 C 200 L 运动型 严选车降价急售,奔驰C级,,严选车,2015,11,8.58,2.0,,自动,22.50,23.55
奥迪A6L 2016款 TFSI 舒适型 严选车降价急售0过户,奥迪A6L,,严选车,2016,07,4.25,1.8,,自动,26.18,28.01
